"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|FR","7519.02","7749.43","7792.32","6352.00"
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|FR","6824.62","7055.76","7092.70","6402.00"
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|FR","6410.40","6684.89","6717.36","6291.00"
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|FR","5996.00","6315.17","6345.43","6104.00"
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|FR","5581.45","5947.06","5972.04","6083.00"
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|FR","5432.06","5503.39","5526.12","5559.00"
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|FR","4494.68","4671.32","4671.32","4842.00"
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|FR","4097.94","4304.99","4304.99","4284.00"
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|FR","4118.34","4313.15","4313.15","4091.00"
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|FR","4135.22","4320.90","4320.90","4201.00"
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|FR","4152.67","4331.41","4331.41","4408.00"
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|FR","4030.32","4152.84","4152.84","4554.00"
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|FR","3908.14","3973.47","3973.47","4439.00"
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|FR","3786.73","4253.82","4253.82","4148.00"
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|FR","3831.55","4072.72","4072.72","4169.00"
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|FR","3877.67","3927.23","3927.23","4182.00"
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|FR","3930.41","3807.09","4099.04","4065.00"
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|FR","3801.09","3827.95","4022.17","3894.00"
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|FR","3674.11","3857.81","3996.73","4079.00"
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|FR","3551.03","3898.86","4008.65","4026.00"
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|FR","3583.74","3856.88","3943.94","3925.00"
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|FR","3617.12","3817.93","3887.51","3857.00"
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|FR","3652.23","3782.29","3838.44","3864.00"
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|FR","3689.38","3671.44","3720.14","3370.00"
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|FR","3727.69","3562.67","3606.15","3062.00"
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|FR","3767.69","3455.50","3496.38","3107.00"
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|FR","3658.66","3350.71","3389.19","3121.00"
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|FR","3555.22","3247.58","3283.82","3044.00"
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|FR","3454.59","3145.94","3178.82","2672.00"
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|FR","3377.47","2965.28","2995.59","2339.00"
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|FR","2678.64","2716.04","2716.04","2192.00"
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|FR","2574.05","2640.21","2640.21","2102.00"
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|FR","2550.56","2632.84","2632.84","2170.00"
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|FR","2527.59","2626.16","2626.16","2174.00"
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|FR","2505.68","2619.98","2619.98","2186.00"
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|FR","2481.70","2555.58","2555.58","2261.00"
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|FR","2457.73","2491.02","2491.02","2390.00"
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|FR","2434.43","2709.20","2709.20","2492.00"
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|FR","2456.49","2703.85","2703.85","2366.00"
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|FR","2478.23","2700.61","2700.61","2303.00"
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|FR","2499.42","2698.82","2556.07","2196.00"
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|FR","2520.21","2538.96","2429.73","2185.00"
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|FR","2541.71","2380.21","2291.75","2204.00"
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|FR","2563.72","2221.92","2147.14","1679.00"
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|FR","2555.29","2331.85","2266.49","1659.00"
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|FR","2547.46","2442.19","2385.29","1686.00"
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|FR","2539.82","2553.50","2504.30","1783.00"
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|FR","3009.95","2852.26","2807.55","2038.00"
