"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","246.00"
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|FR","309.11","324.15","324.15","344.00"
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|FR","1831.98","1941.02","1952.82","1135.00"
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|FR","3544.29","3729.24","3670.57","2675.00"
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|FR","4533.84","4655.44","4621.79","3699.00"
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|FR","4670.98","4785.05","4692.32","4083.00"
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|FR","4027.83","4179.52","4237.89","3789.00"
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|FR","2796.85","2909.71","2909.46","3010.00"
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|FR","1121.84","1287.35","1287.30","1872.00"
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|FR","81.43","105.97","105.95","722.00"
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","265.00"
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","248.00"
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|FR","343.52","353.08","353.08","368.00"
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|FR","1984.74","1970.98","2213.56","1072.00"
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|FR","3835.76","3683.55","4381.06","2263.00"
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|FR","5185.49","4863.15","5760.27","3294.00"
